docid,content
3502,"2018 BMW 540 i xDrive, 41950, White Metallic, Mocha, All-wheel Drive, 20–29, Gasoline, 8-Speed Automatic, 3.0L I6 24V GDI DOHC Turbo, 50534, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3503,"2021 Dodge Durango GT, 45238, White Knuckle Clearcoat, Black, All-wheel Drive, 18–25, Gasoline, 8-Speed Automatic, 3.6L V6 24V MPFI DOHC, 14444, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3504,"2015 Ford F-150 XLT, 30500, Blue Flame Metallic, Black, Four-wheel Drive, 17–23, Gasoline, 6-Speed Automatic, 2.7L V6 24V GDI DOHC Twin Turbo, 81596, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3505,"2020 Kia Sportage LX, 24250, Clear White, Black, All-wheel Drive, 22–26, Gasoline, 6-Speed Automatic, 2.4L I4 16V GDI DOHC, 14804, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3506,"2019 Jeep Compass Limited, 25952, Diamond Black, Black, Four-wheel Drive, 22–30, Gasoline, 9-Speed Automatic, 2.4L I4 16V MPFI SOHC, 34661, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3507,"2016 Mercedes-Benz E-Class E 350 4MATIC, 29990, Black, Black, All-wheel Drive, 20–28, Gasoline, 7-Speed Automatic, 3.5L V6 24V GDI DOHC, 60949, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3508,"2020 Nissan Pathfinder SL, 33999, Brilliant Silver Metallic, Charcoal, Front-wheel Drive, 20–27, Gasoline, Automatic CVT, 3.5L V6 24V GDI DOHC, 55651, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3509,"2019 Volkswagen Tiguan 2.0T SE, 28998, Deep Black Pearl Effect, Black, Front-wheel Drive, 22–29, Gasoline, 8-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 44460, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3510,"2001 Porsche Boxster S, 19950, Lapis Blue Metallic, Graphite Grey, Rear-wheel Drive, 18–26, Gasoline, 6-Speed Manual, 3.2L H6 24V MPFI DOHC, 48759, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3511,"2016 Chevrolet Tahoe LT, 40242, Gray, Black, RWD, 16–23, Gasoline, 6-Speed Automatic, 5.3L V8 16V GDI OHV, 68700, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3512,"2018 BMW 540 i, 44772, Black Sapphire Metallic, Black, Rear-wheel Drive, 21–30, Gasoline, 8-Speed Automatic, 3.0L I6 24V GDI DOHC Turbo, 18838, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3513,"2018 Land Rover Range Rover 5.0L Supercharged, 85996, Black, Ebony, Four-wheel Drive, 16–21, Gasoline, 8-Speed Automatic, 5.0L V8 32V GDI DOHC Supercharged, 38837, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3514,"2018 Hyundai Elantra SEL, 7995, Black Diamond, Beige, FWD, 28–37, Gasoline, 6-Speed Automatic, 2.0L I4 16V MPFI DOHC, 114720, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3515,"2018 Lexus ES 350 , 34999, Obsidian Black, Flaxen, Front-wheel Drive, 21–30, Gasoline, 6-Speed Automatic, 3.5L V6 24V MPFI DOHC, 22354, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3516,"2020 Lexus IS 300 Base, 36995, Liquid Platinum, Black, Rear-wheel Drive, 21–30, Gasoline, 8-Speed Automatic, 2.0L I4 16V PDI DOHC Turbo, 10728, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3517,"2017 Cadillac XT5 Luxury, 28000, Stellar Black Metallic, Black, Front-wheel Drive, 19–27, Gasoline, 8-Speed Automatic, 3.6L V6 24V GDI DOHC, 64732, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3518,"2019 Porsche Macan Base, 56197, Volcano Grey Metallic, Black, All-wheel Drive, 19–23, Gasoline, 7-Speed Automatic with Auto-Shift, 2.0L I4 16V GDI DOHC Turbo, 13123, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3519,"2020 Chrysler Pacifica Touring-L, 32129, Bright White Clearcoat, Black, Front-wheel Drive, 19–28, Gasoline, 9-Speed Automatic, 3.6L V6 24V MPFI DOHC, 49531, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3520,"2013 Mercedes-Benz S-Class S 550, 31030, Diamond White, Black, Rear-wheel Drive, 15–25, Gasoline, 7-Speed Automatic, 4.7L V8 32V GDI DOHC Twin Turbo, 60220, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3521,"2016 Chevrolet Silverado 1500 1LT, 29392, Black, Cocoa / Dune, Rear-wheel Drive, Transmission, Gasoline, 6-Speed Automatic, 5.3L V8 16V GDI OHV, 108749, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3522,"2012 Acura RDX Base, 11683, Silver Gray, –, Front-wheel Drive, 19–24, Gasoline, 5-Speed Automatic, 2.3L I4 16V MPFI DOHC Turbo, 127800, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3523,"2018 GMC Yukon XL Denali, 63590, Onyx Black, Jet Black, Four-wheel Drive, 14–21, Gasoline, 10-Speed Automatic, 6.2L V8 16V GDI OHV, 45602, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3524,"2018 Dodge Durango R/T, 45876, Granite Clearcoat, Black, All-wheel Drive, 14–22, Gasoline, 8-Speed Automatic, 5.7L V8 16V MPFI OHV, 34402, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3525,"2018 Chevrolet Equinox 1LT, 17895, Silver Ice Metallic, Jet Black, All-wheel Drive, 24–30, Gasoline, 6-Speed Automatic, 1.5L I4 16V GDI DOHC Turbo, 68929, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3526,"2018 Audi A5 2.0T Premium, 48900, Monsoon Gray Metallic w/ Black Roof, Black, All-wheel Drive, 24–34, Gasoline, 7-Speed Automatic with Auto-Shift, 2.0L I4 16V GDI DOHC Turbo, 11872, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3527,"2018 Land Rover Range Rover Sport HSE Td6, 66900, Narvik Black, Ebony, Four-wheel Drive, 22–28, Diesel, Automatic, 3.0L V6 Turbo Diesel, 35206, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3528,"2013 BMW 335 i, 22573, Black Sapphire Metallic, Black, Rear-wheel Drive, 19–28, Gasoline, 6-Speed Automatic, 3.0L I6 24V GDI DOHC Turbo, 57507, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3529,"2019 Ford Escape S, 14490, Gray, Gray, FWD, 21–29, Flexible Fuel, 6-Speed Automatic, 2.5L I4 16V MPFI DOHC Flexible Fuel, 10707, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3530,"2020 Hyundai Palisade SE, 35987, Moonlight Cloud, Black, Front-wheel Drive, 19–26, Gasoline, 8-Speed Automatic, 3.8L V6 24V GDI DOHC, 32895, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3531,"2020 Ford Expedition XLT, 45000, Magnetic, Ebony, Rear-wheel Drive, 17–23, Gasoline, 10-Speed Automatic, 3.5L V6 24V GDI DOHC Twin Turbo, 2657, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3532,"2017 Toyota RAV4 LE, 19490, Super White, Black, Front-wheel Drive, 23–30, Gasoline, 6-Speed Automatic, 2.5L I4 16V MPFI DOHC, 99175, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3533,"2019 Chevrolet Traverse LS, 36594, Satin Steel Metallic, Jet Black, All-wheel Drive, 17–25, Gasoline, 9-Speed Automatic, 3.6L V6 24V GDI DOHC, 24606, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3534,"2020 Cadillac XT5 Luxury, 42999, Satin Steel Metallic, Jet Black, All-wheel Drive, 21–26, Gasoline, 9-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 13128, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3535,"2019 GMC Yukon Denali, 68984, Onyx Black, Jet Black, Four-wheel Drive, 14–22, Gasoline, 10-Speed Automatic, 6.2L V8 16V GDI OHV, 14082, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3536,"2014 Lexus LS 460 LS 460 L Sedan 4D, 34590, White, Beige, Rear-wheel Drive, 16–24, Gasoline, 8-Speed Automatic, 4.6L V8 32V PDI DOHC, 54647, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3537,"2018 Mercedes-Benz C-Class C 300, 31997, Black, Black, Rear-wheel Drive, 24–33, Gasoline, 9-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 22813, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3538,"2017 Toyota Tacoma TRD Sport, 35999, White, Black, Rear-wheel Drive, 19–24, Gasoline, 6-Speed Automatic, 3.5L V6 24V PDI DOHC, 40356, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3539,"2018 Mercedes-Benz C-Class C 300, 36980, Black, Black, Rear-wheel Drive, 24–33, Gasoline, 9-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 17570, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3540,"2019 Audi RS 5 2.9T, 65995, Mythos Black Metallic, Black / Crescendo Red, All-wheel Drive, 17–26, Gasoline, 8-Speed Automatic, 2.9L V6 24V GDI DOHC Twin Turbo, 59940, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3541,"2018 Toyota RAV4 Limited, 32406, Blizzard Pearl, Black, All-wheel Drive, 22–28, Gasoline, 6-Speed Automatic, 2.5L I4 16V MPFI DOHC, 23456, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3542,"2018 BMW 330e iPerformance, 28950, Jet Black, Black, RWD, Transmission, Hybrid, 8-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo Hybrid, 35262, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3543,"2019 Ford F-150 Raptor, 62388, Ingot Silver Metallic, Black, Four-wheel Drive, 15–18, Gasoline, 10-Speed Automatic, 3.5L V6 24V PDI DOHC Twin Turbo, 3728, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3544,"2020 Buick Enclave Essence, 35174, Ebony Twilight Metallic, Dark Galvanized, All-wheel Drive, 17–25, Gasoline, 9-Speed Automatic, 3.6L V6 24V GDI DOHC, 48694, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3545,"2014 Toyota Camry SE, 22995, Super White, Ivory, Front-wheel Drive, 21–31, Gasoline, 6-Speed Automatic, 3.5L V6 24V MPFI DOHC, 20279, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3546,"2017 Nissan Rogue SV, 23125, Brilliant Silver, Charcoal, All-wheel Drive, 25–32, Gasoline, Automatic CVT, 2.5L I4 16V MPFI DOHC, 23047, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3547,"2016 Toyota Tundra Limited, 24995, Copper, Black, RWD, 13–18, Gasoline, 6-Speed Automatic, 5.7L V8 32V MPFI DOHC, 70400, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3548,"2020 Acura MDX 3.5L Technology & A-Spec Pkgs, 48988, Majestic Black Pearl, Red, AWD, 19–25, Gasoline, 9-Speed Automatic, 3.5L V6 24V GDI SOHC, 12470, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3549,"2018 GMC Acadia Denali, 38990, Ebony Twilight Metallic, Jet Black, All-wheel Drive, 17–25, Gasoline, 6-Speed Automatic, 3.6L V6 24V GDI DOHC, 16932, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3550,"2020 INFINITI Q50 3.0t LUXE, 35756, Mocha Almond, Wheat, All-wheel Drive, 19–27, Gasoline, 7-Speed Automatic, 3.0L V6 24V GDI DOHC Twin Turbo, 19357, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3551,"2005 BMW 645 Ci, 15995, Black, Chateau Red, Rear-wheel Drive, 17–25, Gasoline, 6-Speed Manual, 4.4L V8 32V MPFI DOHC, 52008, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3552,"2018 Cadillac XT5 Luxury, 37994, Stellar Black Metallic, Cirrus, All-wheel Drive, 18–25, Gasoline, 8-Speed Automatic, 3.6L V6 24V GDI DOHC, 45605, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3553,"2012 Subaru Forester 2.5X, 14995, Black, Black, AWD, 21–27, Gasoline, 4-Speed Automatic, 2.5L H4 16V MPFI DOHC, 80242, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3554,"2019 Cadillac CTS 3.6L Luxury, 43113, Black Raven, Jet Black, All-wheel Drive, 18–26, Gasoline, 8-Speed Automatic, 3.6L V6 24V GDI DOHC, 19144, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3555,"2018 Ford Explorer Limited, 34987, Shadow Black, Ebony Black, Front-wheel Drive, 0–27, Gasoline, Automatic, Intercooled Turbo Premium Unleaded I-4 2.3 L/140, 32126, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3556,"2020 Honda Odyssey Elite, 50998, White, –, Front-wheel Drive, 19–28, Gasoline, 10-Speed Automatic, 3.5L V6 24V GDI SOHC, 14113, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3557,"2020 RAM 1500 Big Horn, 42995, Billet Silver Metallic Clearcoat, Diesel Gray / Black, Four-wheel Drive, 19–24, Gasoline, 8-Speed Automatic, 5.7L V8 16V MPFI OHV, 27785, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3558,"2019 Jeep Grand Cherokee Altitude, 39983, Bright White Clearcoat, Black, Four-wheel Drive, 18–25, Gasoline, 8-Speed Automatic, 3.6L V6 24V MPFI DOHC, 11437, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3559,"2019 Honda CR-V EX-L, 32998, White, –, All-wheel Drive, 27–33, Gasoline, Automatic CVT, 1.5L I4 16V GDI DOHC Turbo, 11070, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3560,"2014 Volkswagen Touareg TDI Lux, 15990, Black, Brown, All-wheel Drive, 20–29, Diesel, 8-Speed Automatic, 3.0L V6 24V DDI DOHC Turbo Diesel, 121941, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3561,"2011 BMW 335 335i xDrive, 9981, gray, gray, All-wheel Drive, 19–26, Gasoline, –, 3.0-liter, 300-horsepower, dual overhead cam (DOHC), inline 24-v, 145309, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3562,"2015 Acura TLX FWD, 18500, Crystal Black Pearl, Ebony, Front-wheel Drive, 24–35, Gasoline, 8-Speed Automatic with Auto-Shift, 2.4L I4 16V GDI DOHC, 88335, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3563,"2018 Mazda CX-5 Grand Touring, 29115, Eternal Blue Mica, Black, FWD, 25–31, Gasoline, 6-Speed Automatic, 2.5L I4 16V, 28098, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3564,"2020 Volvo XC90 T6 Inscription 7 Passenger, 63500, Pine Gray Metallic, Amber, All-wheel Drive, 18–26, Gasoline, 8-Speed Automatic, 2.0L I4 16V GDI DOHC, 14160, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3565,"2020 Lincoln Aviator Reserve AWD, 62990, Infinite Black Metallic, Ebony, All-wheel Drive, 17–24, Gasoline, 10-Speed Automatic, 3.0L V6 24V GDI DOHC Twin Turbo, 16878, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3566,"2018 Volvo S90 T5 Momentum, 33800, Osmium Gray Metallic, Blond, All-wheel Drive, 23–32, Gasoline, 8-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 32383, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3567,"2018 Ford F-150 XL, 30617, Oxford White, Gray, Four-wheel Drive, 18–23, E85 Flex Fuel, Automatic, 3.3L V6 24V PDI DOHC Flexible Fuel, 66325, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3568,"2010 Volvo XC70 3.2, 13991, Electric Silver Metallic, Sandstone Beige, All-wheel Drive, 16–22, Gasoline, 6-Speed Automatic, 3.2L I6 24V MPFI DOHC, 99986, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3569,"2017 Nissan Maxima 3.5 SR, 27495, Brilliant Silver, Charcoal, Front-wheel Drive, 21–30, Gasoline, Automatic CVT, 3.5L V6 24V MPFI DOHC, 40899, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3570,"2019 Acura MDX 3.5L, 36755, Gray, –, Front-wheel Drive, 20–27, Gasoline, 9-Speed Automatic, 3.5L V6 24V GDI SOHC, 35196, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3571,"2018 Toyota 4Runner Limited, 46164, Midnight Black Metallic, Black Graphite, Four-wheel Drive, 17–20, Gasoline, 5-Speed Automatic, 4.0L V6 24V MPFI DOHC, 38907, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3572,"2020 BMW X7 xDrive40i, 78995, Alpine White, Cognac, All-wheel Drive, 20–25, Gasoline, 8-Speed Automatic, 3.0L I6 24V GDI DOHC Turbo, 15337, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3573,"2018 INFINITI Q50 3.0t LUXE, 23995, Graphite Shadow, Graphite, Rear-wheel Drive, 20–29, Gasoline, 7-Speed Automatic, 3.0L V6 24V GDI DOHC Twin Turbo, 96535, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3574,"2018 Jeep Grand Cherokee Limited, 36985, Diamond Black, Black, Four-wheel Drive, 18–25, Gasoline, 8-Speed Automatic, 3.6L V6 24V MPFI DOHC, 23990, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3575,"2018 Nissan Rogue Sport S, 20991, Brilliant Silver, Charcoal, All-wheel Drive, 24–30, Gasoline, Automatic CVT, 2.0L I4 16V GDI DOHC, 15266, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3576,"2018 Chevrolet Silverado 1500 LT, 39497, Black, Jet Black, Four-wheel Drive, 17–22, Gasoline, 6-Speed Automatic, 5.3L V8 16V GDI OHV, 34997, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3577,"2015 Audi Q5 2.0T Premium Plus, 20444, Black, Chestnut Brown, All-wheel Drive, 20–28, E85 Flex Fuel, 8-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo Flexible Fuel, 90198, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3578,"2019 BMW M550 i xDrive, 64498, Alpine White, Black, All-wheel Drive, 18–25, Gasoline, 8-Speed Automatic, 4.4L V8 32V GDI DOHC Twin Turbo, 29941, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3579,"2019 Tesla Model X Performance, 109977, Deep Blue Metallic, Cream, All-wheel Drive, Transmission, Electric, 1-Speed Automatic, Electric, 12777, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3580,"2016 Lexus IS 200t Base, 28999, Silver Lining Metallic, Black, Rear-wheel Drive, 22–33, Gasoline, 8-Speed Automatic, 2.0L I4 16V PDI DOHC Turbo, 14059, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3581,"2019 Lexus RX 350 , 43389, Atomic Silver, Black, Front-wheel Drive, 20–28, Gasoline, 8-Speed Automatic, 3.5L V6 24V PDI DOHC, 40521, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3582,"2008 BMW 650 650i, 19900, Black Sapphire Metallic, Saddle Brown, Rear-wheel Drive, 14–21, Gasoline, –, 4.8L DOHC 32-valve V8 engine w/double-VANOS steplessly variable, 49484, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3583,"2018 Mazda CX-5 Grand Touring, 28288, Eternal Blue Mica, Black, All-wheel Drive, 24–30, Gasoline, 6-Speed Automatic, 2.5L I4 16V GDI DOHC, 31066, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3584,"2018 Ford F-150 Lariat, 44988, Red, Black, Four-wheel Drive, 19–24, Gasoline, 10-Speed Automatic, 3.5L V6 24V PDI DOHC Twin Turbo, 81350, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3585,"2020 Mercedes-Benz C-Class C 300 4MATIC, 46395, Polar White, AMG Cranberry Red, All-wheel Drive, 23–33, Gasoline, 9-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 30760, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3586,"2018 Toyota Tacoma TRD Sport, 40995, Gray, Black, Four-wheel Drive, 18–22, Gasoline, 6-Speed Automatic, 3.5L V6 24V PDI DOHC, 19315, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3587,"2011 BMW 535 i xDrive, 19995, Black Sapphire Metallic, Oyster / Black, All-wheel Drive, 19–29, Gasoline, 8-Speed Automatic, 3.0L I6 24V GDI DOHC Turbo, 34090, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3588,"2019 Chrysler 300 S, 25507, Ocean Blue Metallic, Black, Rear-wheel Drive, 19–30, Gasoline, 8-Speed Automatic, 3.6L V6 24V MPFI DOHC, 68438, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3589,"2018 Chevrolet Tahoe LT, 50337, Summit White, Black, Four-wheel Drive, 16–22, Gasoline, 6-Speed Automatic, 5.3L V8 16V GDI OHV, 31254, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3590,"2019 RAM 1500 Big Horn, 32995, Bright White Clearcoat, Black, Four-wheel Drive, 19–24, Gasoline, 8-Speed Automatic, 5.7L V8 16V MPFI OHV, 26300, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3591,"2021 Mercedes-Benz GLC 300 Base 4MATIC, 50695, Lunar Blue Metallic, Silk Beige / Black, All-wheel Drive, 21–28, Gasoline, 9-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 10359, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3592,"2019 Chevrolet Colorado Z71, 43988, Shadow Gray Metallic, Jet Black, Four-wheel Drive, 17–24, Diesel, 6-Speed Automatic, 2.8L I4 16V DDI DOHC Turbo Diesel, 11721, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3593,"2018 BMW 540 i xDrive, 46998, Carbon Black, Black, All-wheel Drive, 20–29, Gasoline, 8-Speed Automatic, 3.0L I6 24V GDI DOHC Turbo, 49451, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3594,"2014 Lexus IS 350 Base, 27500, Silver, Black, AWD, 19–26, Gasoline, 6-Speed Automatic, 3.5L V6 24V PDI DOHC, 63612, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3595,"2020 Mercedes-Benz GLE 350 Base 4MATIC, 62900, Polar White, Black, All-wheel Drive, 19–26, Gasoline, 9-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 45601, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3596,"2018 BMW X5 xDrive35i, 44999, Alpine White, Black, AWD, 18–24, Gasoline, 8-Speed Automatic, 3.0L I6 24V GDI DOHC Turbo, 35650, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
